record_id,wearlog_place,wearlog_place_english
RISE_S001,NA,NA
RISE_S002,NA,NA
RISE_S003,på nattduksbordet,on the bedside table
RISE_S003,NA,NA
RISE_S004,NA,NA
RISE_S004,hylla,shelf
RISE_S005,på bordet i badrummet,on the table in the bathroom
RISE_S005,NA,NA
RISE_S005,På bänken i badrummet,On the bench in the bathroom
RISE_S006,NA,NA
RISE_S007,NA,NA
RISE_S008,NA,NA
RISE_S008,på bordet uppochner,on the table upside down
RISE_S009,NA,NA
RISE_S010,NA,NA
RISE_S010,on the backpack,on the backpack
RISE_S011,NA,NA
RISE_S013,NA,NA
RISE_S014,NA,NA
RISE_S015,NA,NA
RISE_S016,NA,NA
RISE_S017,o kläder,and clothes
RISE_S017,NA,NA
