record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,morning_eveningness_questionnaire_meq_timestamp,meq_freewake,meq_freesleep,meq_alarm,meq_wakeupease,meq_mor_alert,meq_mor_hunger,meq_mor_feel,meq_free_bedtime,meq_mor_exercise,meq_eve_tired,meq_peak_perf,meq_eleven_tired,meq_delayed_sleep,meq_shift_conseq,meq_phys_work,meq_eve_exercise,meq_ideal_week,meq_besthour,meq_perceived_chron,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,morning_eveningness_questionnaire_meq_complete
RISE_S001,,,RISE_S001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S001,morning_eveningness_questionnaire_meq,1,,"2025-03-03 16:21:53",1,3,2,3,2,1,2,2,2,3,2,1,2,4,2,4,2,2,2,,,,,,,,2
RISE_S002,,,RISE_S002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S002,morning_eveningness_questionnaire_meq,1,,"2025-03-17 16:31:51",6,5,4,3,3,1,2,4,3,5,2,1,4,1,3,2,2,5,4,,,,,,,,2
RISE_S003,,,RISE_S003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S003,morning_eveningness_questionnaire_meq,1,,"2025-03-17 16:41:33",5,4,4,3,2,3,2,2,4,3,3,2,4,4,3,1,2,4,3,,,,,,,,2
RISE_S004,,,RISE_S004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S004,morning_eveningness_questionnaire_meq,1,,"2025-03-24 15:27:49",2,3,4,3,3,3,2,2,2,3,2,3,2,3,3,3,2,3,2,,,,,,,,2
RISE_S005,,,RISE_S005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S005,morning_eveningness_questionnaire_meq,1,,"2025-03-31 14:06:52",3,3,3,3,1,1,2,3,3,3,2,3,3,4,2,3,3,3,3,,,,,,,,2
RISE_S006,,,RISE_S006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S006,morning_eveningness_questionnaire_meq,1,,"2025-04-14 13:19:21",4,4,2,3,1,1,2,3,4,3,3,2,3,3,3,2,3,3,4,,,,,,,,2
RISE_S007,,,RISE_S007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S007,morning_eveningness_questionnaire_meq,1,,"2025-04-14 15:56:20",3,4,4,2,1,1,2,2,4,3,3,2,4,1,3,2,3,3,4,,,,,,,,2
RISE_S008,,,RISE_S008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S008,morning_eveningness_questionnaire_meq,1,,"2025-10-28 11:15:17",1,2,2,4,3,3,3,2,2,2,1,2,2,4,2,2,2,2,2,,,,,,,,2
RISE_S009,,,RISE_S009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S009,morning_eveningness_questionnaire_meq,1,,"2025-05-26 17:24:15",2,3,3,3,2,1,3,2,3,2,1,3,2,3,2,4,3,2,2,,,,,,,,2
RISE_S010,,,RISE_S010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S010,morning_eveningness_questionnaire_meq,1,,"2025-06-09 13:51:28",2,3,2,4,4,2,4,3,2,3,1,3,1,4,2,3,2,2,3,,,,,,,,2
RISE_S011,,,RISE_S011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S011,morning_eveningness_questionnaire_meq,1,,"2025-06-09 14:08:45",2,1,1,4,4,2,4,1,1,4,1,1,3,4,1,4,2,2,1,,,,,,,,2
RISE_S012,,,RISE_S012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S012,morning_eveningness_questionnaire_meq,1,,"2025-06-09 19:43:02",3,2,2,4,4,2,4,1,3,2,2,2,1,4,2,3,2,3,3,,,,,,,,2
RISE_S013,,,RISE_S013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S013,morning_eveningness_questionnaire_meq,1,,"2025-06-23 13:49:02",2,2,2,4,4,1,4,3,1,1,1,1,1,4,1,4,1,1,1,,,,,,,,2
RISE_S014,,,RISE_S014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S014,morning_eveningness_questionnaire_meq,1,,"2025-10-06 12:45:28",2,2,3,3,4,3,3,2,1,2,2,1,1,4,2,2,2,2,2,,,,,,,,2
RISE_S015,,,RISE_S015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S015,morning_eveningness_questionnaire_meq,1,,"2025-10-06 14:08:27",4,4,4,2,1,1,1,3,2,3,1,2,3,1,3,3,4,3,3,,,,,,,,2
RISE_S016,,,RISE_S016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S016,morning_eveningness_questionnaire_meq,1,,"2025-10-06 21:04:47",3,4,2,3,2,1,2,3,2,3,1,2,2,2,2,3,3,2,2,,,,,,,,2
RISE_S017,,,RISE_S017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S017,morning_eveningness_questionnaire_meq,1,,"2025-10-13 15:36:40",2,2,3,3,2,2,3,1,3,2,2,3,4,3,2,4,2,2,2,,,,,,,,2
